Signal Legend:

Key        Signal Name

0        = sine1kHz:ton_generation_dummy_0|coe_AUD1_BCLK
1        = sine1kHz:ton_generation_dummy_0|coe_AUD2_DACDAT
2        = sine1kHz:ton_generation_dummy_0|coe_AUD3_DACLRCK
3        = sine1kHz:ton_generation_dummy_0|reset_n
4        = sine1kHz:ton_generation_dummy_0|audio_reg[23..0]
5        = sine1kHz:ton_generation_dummy_0|BCLK_reg[1..0]
6        = sine1kHz:ton_generation_dummy_0|count_reg[5..0]
7        = sine1kHz:ton_generation_dummy_0|DACLRCK_reg[1..0]

Data Table:

Signals-> 0 1 2 3 4       5  6   7  

sample

-1024     1 0 0 1 000000h 2h 11h 0h 
-1023     0 0 0 1 000000h 1h 11h 0h 
-1022     1 0 0 1 000000h 2h 11h 0h 
-1021     0 0 0 1 000000h 1h 11h 0h 
-1020     1 0 0 1 000000h 2h 11h 0h 
-1019     0 0 0 1 000000h 1h 11h 0h 
-1018     1 0 0 1 000000h 2h 11h 0h 
-1017     0 0 0 1 000000h 1h 11h 0h 
-1016     1 0 0 1 000000h 2h 11h 0h 
-1015     0 0 0 1 000000h 1h 11h 0h 
-1014     1 0 0 1 000000h 2h 11h 0h 
-1013     0 0 0 1 000000h 1h 11h 0h 
-1012     1 0 0 1 000000h 2h 11h 0h 
-1011     0 0 0 1 000000h 1h 11h 0h 
-1010     1 0 0 1 000000h 2h 11h 0h 
-1009     0 0 0 1 000000h 1h 11h 0h 
-1008     1 0 0 1 000000h 2h 11h 0h 
-1007     0 0 0 1 000000h 1h 11h 0h 
-1006     1 0 0 1 000000h 2h 11h 0h 
-1005     0 0 0 1 000000h 1h 11h 0h 
-1004     1 0 0 1 000000h 2h 11h 0h 
-1003     0 0 0 1 000000h 1h 11h 0h 
-1002     1 0 0 1 000000h 2h 11h 0h 
-1001     0 0 0 1 000000h 1h 11h 0h 
-1000     1 0 0 1 000000h 2h 11h 0h 
-999      0 0 0 1 000000h 1h 11h 0h 
-998      1 0 0 1 000000h 2h 11h 0h 
-997      0 0 0 1 000000h 1h 11h 0h 
-996      1 0 0 1 000000h 2h 11h 0h 
-995      0 0 0 1 000000h 1h 11h 0h 
-994      1 0 0 1 000000h 2h 11h 0h 
-993      0 0 0 1 000000h 1h 11h 0h 
-992      1 0 0 1 000000h 2h 11h 0h 
-991      0 0 0 1 000000h 1h 11h 0h 
-990      1 0 0 1 000000h 2h 11h 0h 
-989      0 0 0 1 000000h 1h 11h 0h 
-988      1 0 0 1 000000h 2h 11h 0h 
-987      0 0 0 1 000000h 1h 11h 0h 
-986      1 0 0 1 000000h 2h 11h 0h 
-985      0 0 0 1 000000h 1h 11h 0h 
-984      1 0 0 1 000000h 2h 11h 0h 
-983      0 0 0 1 000000h 1h 11h 0h 
-982      1 0 0 1 000000h 2h 11h 0h 
-981      0 0 0 1 000000h 1h 11h 0h 
-980      1 0 0 1 000000h 2h 11h 0h 
-979      0 0 0 1 000000h 1h 11h 0h 
-978      1 0 0 1 000000h 2h 11h 0h 
-977      0 0 0 1 000000h 1h 11h 0h 
-976      1 0 0 1 000000h 2h 11h 0h 
-975      0 0 0 1 000000h 1h 11h 0h 
-974      1 0 0 1 000000h 2h 11h 0h 
-973      0 0 0 1 000000h 1h 11h 0h 
-972      1 0 0 1 000000h 2h 11h 0h 
-971      0 0 0 1 000000h 1h 11h 0h 
-970      1 0 0 1 000000h 2h 11h 0h 
-969      0 0 0 1 000000h 1h 11h 0h 
-968      1 0 0 1 000000h 2h 11h 0h 
-967      0 0 0 1 000000h 1h 11h 0h 
-966      1 0 0 1 000000h 2h 11h 0h 
-965      0 0 0 1 000000h 1h 11h 0h 
-964      1 0 0 1 000000h 2h 11h 0h 
-963      0 0 0 1 000000h 1h 11h 0h 
-962      1 0 0 1 000000h 2h 11h 0h 
-961      0 0 0 1 000000h 1h 11h 0h 
-960      1 0 0 1 000000h 2h 11h 0h 
-959      0 0 0 1 000000h 1h 11h 0h 
-958      1 0 0 1 000000h 2h 11h 0h 
-957      0 0 0 1 000000h 1h 11h 0h 
-956      1 0 0 1 000000h 2h 11h 0h 
-955      0 0 0 1 000000h 1h 11h 0h 
-954      1 0 0 1 000000h 2h 11h 0h 
-953      0 0 0 1 000000h 1h 11h 0h 
-952      1 0 0 1 000000h 2h 11h 0h 
-951      0 0 0 1 000000h 1h 11h 0h 
-950      1 0 0 1 000000h 2h 11h 0h 
-949      0 0 0 1 000000h 1h 11h 0h 
-948      1 0 0 1 000000h 2h 11h 0h 
-947      0 0 0 1 000000h 1h 11h 0h 
-946      1 0 0 1 000000h 2h 11h 0h 
-945      0 0 0 1 000000h 1h 11h 0h 
-944      1 0 0 1 000000h 2h 11h 0h 
-943      0 0 0 1 000000h 1h 11h 0h 
-942      1 0 0 1 000000h 2h 11h 0h 
-941      0 0 0 1 000000h 1h 11h 0h 
-940      1 0 0 1 000000h 2h 11h 0h 
-939      0 0 0 1 000000h 1h 11h 0h 
-938      1 0 0 1 000000h 2h 11h 0h 
-937      0 0 0 1 000000h 1h 11h 0h 
-936      1 0 0 1 000000h 2h 11h 0h 
-935      0 0 0 1 000000h 1h 11h 0h 
-934      1 0 0 1 000000h 2h 11h 0h 
-933      0 0 0 1 000000h 1h 11h 0h 
-932      1 0 0 1 000000h 2h 11h 0h 
-931      0 0 0 1 000000h 1h 11h 0h 
-930      1 0 0 1 000000h 2h 11h 0h 
-929      0 0 0 1 000000h 1h 11h 0h 
-928      1 0 0 1 000000h 2h 11h 0h 
-927      0 0 0 1 000000h 1h 11h 0h 
-926      1 0 0 1 000000h 2h 11h 0h 
-925      0 0 0 1 000000h 1h 11h 0h 
-924      1 0 0 1 000000h 2h 11h 0h 
-923      0 0 0 1 000000h 1h 11h 0h 
-922      1 0 0 1 000000h 2h 11h 0h 
-921      0 0 0 1 000000h 1h 11h 0h 
-920      1 0 0 1 000000h 2h 11h 0h 
-919      0 0 0 1 000000h 1h 11h 0h 
-918      1 0 0 1 000000h 2h 11h 0h 
-917      0 0 0 1 000000h 1h 11h 0h 
-916      1 0 0 1 000000h 2h 11h 0h 
-915      0 0 0 1 000000h 1h 11h 0h 
-914      1 0 0 1 000000h 2h 11h 0h 
-913      0 0 0 1 000000h 1h 11h 0h 
-912      1 0 0 1 000000h 2h 11h 0h 
-911      0 0 0 1 000000h 1h 11h 0h 
-910      1 0 0 1 000000h 2h 11h 0h 
-909      0 0 0 1 000000h 1h 11h 0h 
-908      1 0 0 1 000000h 2h 11h 0h 
-907      0 0 0 1 000000h 1h 11h 0h 
-906      1 0 0 1 000000h 2h 11h 0h 
-905      0 0 0 1 000000h 1h 11h 0h 
-904      1 0 0 1 000000h 2h 11h 0h 
-903      0 0 0 1 000000h 1h 11h 0h 
-902      1 0 0 1 000000h 2h 11h 0h 
-901      0 0 0 1 000000h 1h 11h 0h 
-900      1 0 0 1 000000h 2h 11h 0h 
-899      0 0 0 1 000000h 1h 11h 0h 
-898      1 0 0 1 000000h 2h 11h 0h 
-897      0 0 0 1 000000h 1h 11h 0h 
-896      1 0 0 1 000000h 2h 11h 0h 
-895      0 0 0 1 000000h 1h 11h 0h 
-894      1 0 0 1 000000h 2h 11h 0h 
-893      0 0 0 1 000000h 1h 11h 0h 
-892      1 0 0 1 000000h 2h 11h 0h 
-891      0 0 0 1 000000h 1h 11h 0h 
-890      1 0 0 1 000000h 2h 11h 0h 
-889      0 0 0 1 000000h 1h 11h 0h 
-888      1 0 0 1 000000h 2h 11h 0h 
-887      0 0 1 1 000000h 1h 11h 0h 
-886      1 0 1 1 000000h 2h 11h 1h 
-885      0 0 1 1 000000h 1h 12h 3h 
-884      1 0 1 1 000000h 2h 12h 3h 
-883      0 0 1 1 000000h 1h 12h 3h 
-882      1 0 1 1 000000h 2h 12h 3h 
-881      0 0 1 1 000000h 1h 12h 3h 
-880      1 0 1 1 000000h 2h 12h 3h 
-879      0 0 1 1 000000h 1h 12h 3h 
-878      1 0 1 1 000000h 2h 12h 3h 
-877      0 0 1 1 000000h 1h 12h 3h 
-876      1 0 1 1 000000h 2h 12h 3h 
-875      0 0 1 1 000000h 1h 12h 3h 
-874      1 0 1 1 000000h 2h 12h 3h 
-873      0 0 1 1 000000h 1h 12h 3h 
-872      1 0 1 1 000000h 2h 12h 3h 
-871      0 0 1 1 000000h 1h 12h 3h 
-870      1 0 1 1 000000h 2h 12h 3h 
-869      0 0 1 1 000000h 1h 12h 3h 
-868      1 0 1 1 000000h 2h 12h 3h 
-867      0 0 1 1 000000h 1h 12h 3h 
-866      1 0 1 1 000000h 2h 12h 3h 
-865      0 0 1 1 000000h 1h 12h 3h 
-864      1 0 1 1 000000h 2h 12h 3h 
-863      0 0 1 1 000000h 1h 12h 3h 
-862      1 0 1 1 000000h 2h 12h 3h 
-861      0 0 1 1 000000h 1h 12h 3h 
-860      1 0 1 1 000000h 2h 12h 3h 
-859      0 0 1 1 000000h 1h 12h 3h 
-858      1 0 1 1 000000h 2h 12h 3h 
